deputado_a,deputado_b,peso
204374.0,220683.0,0.926829268292683
204374.0,220688.0,0.926829268292683
81055.0,220577.0,0.9085365853658537
81055.0,204365.0,0.9085365853658537
220620.0,220539.0,0.9085365853658537
220578.0,74171.0,0.9085365853658537
220578.0,220539.0,0.9024390243902439
74283.0,156190.0,0.9024390243902439
204491.0,220539.0,0.9390243902439024
160575.0,220543.0,0.9085365853658537
160575.0,220539.0,0.9207317073170732
188097.0,220536.0,0.9024390243902439
188097.0,220624.0,0.9085365853658537
188097.0,156190.0,0.9085365853658537
188097.0,220530.0,0.9207317073170732
188097.0,141411.0,0.9024390243902439
188097.0,220539.0,0.9512195121951219
188097.0,220654.0,0.9024390243902439
188097.0,107970.0,0.926829268292683
188097.0,109429.0,0.9085365853658537
188097.0,220611.0,0.9024390243902439
188097.0,220583.0,0.9146341463414634
188097.0,220613.0,0.9451219512195121
188097.0,160666.0,0.9146341463414634
220619.0,220539.0,0.9024390243902439
204455.0,74171.0,0.9512195121951219
204455.0,220688.0,0.926829268292683
204455.0,220539.0,0.9024390243902439
204455.0,204365.0,0.9512195121951219
204455.0,220583.0,0.9329268292682927
220598.0,220539.0,0.9085365853658537
220708.0,204365.0,0.9085365853658537
156190.0,220621.0,0.9329268292682927
156190.0,220583.0,0.9024390243902439
220607.0,74171.0,0.9329268292682927
220607.0,220615.0,0.9024390243902439
204387.0,204408.0,0.9207317073170732
204387.0,74574.0,0.9146341463414634
204387.0,74273.0,0.9146341463414634
204387.0,220663.0,0.9085365853658537
204387.0,141411.0,0.9207317073170732
204387.0,220539.0,0.9695121951219512
204387.0,220654.0,0.9634146341463414
204387.0,121948.0,0.9329268292682927
204387.0,107970.0,0.9451219512195121
204387.0,223128.0,0.9085365853658537
204387.0,220615.0,0.9329268292682927
204387.0,204409.0,0.9024390243902439
204387.0,74848.0,0.9085365853658537
204387.0,220611.0,0.9024390243902439
204387.0,220613.0,0.9573170731707317
204387.0,73801.0,0.9024390243902439
204387.0,160666.0,0.975609756097561
220612.0,74171.0,0.9573170731707317
220612.0,220688.0,1.0
220612.0,220559.0,0.9085365853658537
220612.0,121948.0,0.9024390243902439
220612.0,107970.0,0.975609756097561
220612.0,204369.0,0.9207317073170732
220612.0,220583.0,0.9207317073170732
220612.0,220613.0,0.9146341463414634
220652.0,220583.0,0.9146341463414634
220652.0,220613.0,0.9146341463414634
220527.0,204365.0,0.9085365853658537
220527.0,220583.0,0.9085365853658537
220527.0,220613.0,0.926829268292683
160604.0,220688.0,0.9146341463414634
220571.0,220539.0,0.9024390243902439
204355.0,204365.0,0.9085365853658537
204355.0,109429.0,0.9024390243902439
204355.0,220583.0,0.9207317073170732
204355.0,220613.0,0.9146341463414634
204528.0,220583.0,0.926829268292683
204528.0,220613.0,0.9207317073170732
220635.0,220583.0,0.9207317073170732
178931.0,220613.0,0.9085365853658537
220635.0,220530.0,0.9146341463414634
220635.0,220577.0,0.9085365853658537
220635.0,160629.0,0.926829268292683
220635.0,204394.0,0.9024390243902439
220635.0,220543.0,0.9024390243902439
220635.0,220688.0,0.9024390243902439
74159.0,204365.0,0.9390243902439024
74159.0,73604.0,0.9024390243902439
74159.0,220539.0,0.9329268292682927
204455.0,220683.0,0.9085365853658537
204540.0,160629.0,0.9024390243902439
204540.0,220543.0,0.9207317073170732
204540.0,220688.0,0.9146341463414634
160556.0,220558.0,0.9024390243902439
204365.0,220539.0,0.9024390243902439
204528.0,160629.0,0.9390243902439024
204528.0,221338.0,0.9207317073170732
204528.0,91228.0,0.926829268292683
204528.0,220526.0,0.9634146341463414
221148.0,220683.0,0.926829268292683
221148.0,220688.0,0.9329268292682927
221148.0,204491.0,0.9146341463414634
221148.0,220539.0,0.9024390243902439
220708.0,220543.0,0.9024390243902439
188097.0,204491.0,0.926829268292683
204387.0,220701.0,0.9085365853658537
204387.0,220683.0,0.9024390243902439
204387.0,191923.0,0.9024390243902439
204387.0,220526.0,0.9085365853658537
204387.0,198783.0,0.9024390243902439
204387.0,204491.0,0.9451219512195121
204387.0,220560.0,0.9024390243902439
220612.0,220526.0,0.9024390243902439
220612.0,220578.0,0.9024390243902439
204355.0,220539.0,0.9024390243902439
220576.0,220577.0,0.9024390243902439
188097.0,160629.0,0.9085365853658537
80815.0,204365.0,0.9024390243902439
80815.0,73604.0,0.9085365853658537
204387.0,160161.0,0.9024390243902439
204387.0,160629.0,0.9207317073170732
204387.0,156190.0,0.926829268292683
204387.0,220618.0,0.9207317073170732
204387.0,220533.0,0.9146341463414634
204387.0,220610.0,0.9329268292682927
204387.0,220664.0,0.9512195121951219
204387.0,220536.0,0.9085365853658537
220668.0,204365.0,0.9085365853658537
220607.0,220670.0,0.9024390243902439
220652.0,156190.0,0.9146341463414634
220612.0,220543.0,0.9329268292682927
220612.0,204356.0,0.9207317073170732
204355.0,220621.0,0.9085365853658537
204355.0,74171.0,0.9024390243902439
204355.0,220530.0,0.9085365853658537
204355.0,220588.0,0.9207317073170732
220607.0,220683.0,0.9451219512195121
221148.0,220577.0,0.9024390243902439
74171.0,220530.0,0.9024390243902439
204387.0,220639.0,0.9085365853658537
74057.0,204365.0,0.9085365853658537
204355.0,220526.0,0.9024390243902439
220612.0,220683.0,0.9512195121951219
220612.0,220558.0,0.9024390243902439
204387.0,220605.0,0.9207317073170732
178931.0,220577.0,0.9085365853658537
220612.0,69871.0,0.9024390243902439
220612.0,220530.0,0.9024390243902439
